GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
AllTests (08/05/2021 16:12:39)/CodeQualityAssessor/src/main/java,Limits,Threshold,0,166,1,13,0,34,1,19,0,13
AllTests (08/05/2021 16:12:39)/CodeQualityAssessor/src/main/java,Limits,RuleHandler,69,108,3,5,19,33,4,11,2,9
AllTests (08/05/2021 16:12:39)/CodeQualityAssessor/src/main/java,Limits,LimitsGUI,481,0,2,0,87,0,15,0,14,0
AllTests (08/05/2021 16:12:39)/CodeQualityAssessor/src/main/java,CSQualityControl,CompareCodeSmellsFiles,3,204,0,10,1,57,0,9,0,4
AllTests (08/05/2021 16:12:39)/CodeQualityAssessor/src/main/java,CSQualityControl,QualityControlUtils,31,158,14,26,5,41,13,14,1,6
AllTests (08/05/2021 16:12:39)/CodeQualityAssessor/src/main/java,G9.CodeQualityAssessor,GUI.new ActionListener() {...},79,0,6,0,17,0,6,0,3,0
AllTests (08/05/2021 16:12:39)/CodeQualityAssessor/src/main/java,G9.CodeQualityAssessor,GUIRegras,390,0,12,0,68,0,10,0,4,0
AllTests (08/05/2021 16:12:39)/CodeQualityAssessor/src/main/java,G9.CodeQualityAssessor,CodeSmells,12,164,4,26,3,31,4,15,0,3
AllTests (08/05/2021 16:12:39)/CodeQualityAssessor/src/main/java,G9.CodeQualityAssessor,GUI.new ActionListener() {...},198,0,11,0,42,0,10,0,3,0
AllTests (08/05/2021 16:12:39)/CodeQualityAssessor/src/main/java,G9.CodeQualityAssessor,GUI,508,0,0,0,111,0,2,0,2,0
AllTests (08/05/2021 16:12:39)/CodeQualityAssessor/src/main/java,G9.CodeQualityAssessor,GUIRegras.new ActionListener() {...},61,0,2,0,13,0,4,0,3,0
AllTests (08/05/2021 16:12:39)/CodeQualityAssessor/src/main/java,G9.CodeQualityAssessor,GUI.new ActionListener() {...},62,0,6,0,16,0,6,0,3,0
AllTests (08/05/2021 16:12:39)/CodeQualityAssessor/src/main/java,G9.CodeQualityAssessor,ColorRenderer,122,57,32,6,13,13,18,4,1,2
AllTests (08/05/2021 16:12:39)/CodeQualityAssessor/src/main/java,G9.CodeQualityAssessor,GUI.new ActionListener() {...},26,0,0,0,8,0,3,0,3,0
AllTests (08/05/2021 16:12:39)/CodeQualityAssessor/src/main/java,G9.CodeQualityAssessor,GUI.new ActionListener() {...},9,0,0,0,3,0,2,0,2,0
AllTests (08/05/2021 16:12:39)/CodeQualityAssessor/src/main/java,G9.CodeQualityAssessor,GUIRegras.new ActionListener() {...},73,0,2,0,9,0,3,0,2,0
AllTests (08/05/2021 16:12:39)/CodeQualityAssessor/src/main/java,G9.CodeQualityAssessor,GUI.new Runnable() {...},15,0,0,0,6,0,2,0,2,0
AllTests (08/05/2021 16:12:39)/CodeQualityAssessor/src/main/java,G9.CodeQualityAssessor,GUIRegras.new ActionListener() {...},32,0,0,0,6,0,2,0,2,0
AllTests (08/05/2021 16:12:39)/CodeQualityAssessor/src/main/java,G9.CodeQualityAssessor,GUIRegras.new ActionListener() {...},39,0,4,0,6,0,4,0,2,0
AllTests (08/05/2021 16:12:39)/CodeQualityAssessor/src/main/java,G9.CodeQualityAssessor,ContentExcel,37,508,2,20,9,125,3,20,1,10
AllTests (08/05/2021 16:12:39)/CodeQualityAssessor/src/main/java,G9.CodeQualityAssessor,GUI.new ActionListener() {...},23,0,0,0,6,0,3,0,3,0
AllTests (08/05/2021 16:12:39)/CodeQualityAssessor/src/main/java,metrics,Metric,0,94,0,6,0,35,0,25,0,20
AllTests (08/05/2021 16:12:39)/CodeQualityAssessor/src/main/java,metrics,ConstructorInfo,2,129,2,4,2,29,2,4,0,3
AllTests (08/05/2021 16:12:39)/CodeQualityAssessor/src/main/java,metrics,MetricInfo,0,207,1,13,0,37,1,12,0,6
AllTests (08/05/2021 16:12:39)/CodeQualityAssessor/src/main/java,metrics,MethodInfo,1,130,1,5,1,30,1,5,0,3
AllTests (08/05/2021 16:12:39)/CodeQualityAssessor/src/main/java,metrics,MetricUtils,0,505,4,30,0,89,4,25,0,12
AllTests (08/05/2021 16:12:39)/CodeQualityAssessor/src/test/java,tests,Test_MetricUtils,0,15,0,0,0,4,0,2,0,2
AllTests (08/05/2021 16:12:39)/CodeQualityAssessor/src/test/java,tests,Test_Threshold,65,264,2,6,15,58,3,16,1,14
AllTests (08/05/2021 16:12:39)/CodeQualityAssessor/src/test/java,tests,Test_CompareCodeSmellsFiles,0,18,0,0,0,8,0,3,0,3
AllTests (08/05/2021 16:12:39)/CodeQualityAssessor/src/test/java,tests,Test_RuleHandler,11,95,2,2,5,30,3,6,1,6
AllTests (08/05/2021 16:12:39)/CodeQualityAssessor/src/test/java,tests,Test_ColorRenderer,0,56,0,0,0,9,0,3,0,3
AllTests (08/05/2021 16:12:39)/CodeQualityAssessor/src/test/java,tests,Test_Metric,0,185,0,2,0,47,0,13,0,12
AllTests (08/05/2021 16:12:39)/CodeQualityAssessor/src/test/java,tests,Test_CodeSmells,0,117,0,0,0,29,0,5,0,5
AllTests (08/05/2021 16:12:39)/CodeQualityAssessor/src/test/java,tests,Test_ContentExcel,6,62,0,0,2,17,0,4,0,4
AllTests (08/05/2021 16:12:39)/CodeQualityAssessor/src/test/java,tests,Test_MetricInfo,9,177,0,2,3,39,0,8,0,7
AllTests (08/05/2021 16:12:39)/CodeQualityAssessor/src/test/java,tests,AllTests,3,0,0,0,1,0,1,0,1,0
